iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
218	4.65646e+06	893.12	0	17.589	12.0889	90871.6	3.11167	1.23386	0.243218	0.514493	0.142941	0.539648
219	4.68155e+06	894.08	0	17.6143	12.144	91172.6	3.18616	1.27071	0.248737	0.517373	0.1491	0.536845
220	4.70121e+06	894.88	0	17.6399	12.1956	91477.7	3.12002	1.21368	0.247402	0.529919	0.148272	0.534437
221	4.71766e+06	895.04	0	17.6618	12.2473	91788	3.24615	1.32257	0.244108	0.513383	0.148316	0.532369
222	4.73218e+06	895.68	0	17.6845	12.3078	92125.2	3.41221	1.42225	0.250887	0.518941	0.151675	0.530686
223	4.74695e+06	897.44	0	17.7158	12.3876	92528.5	3.70491	1.58497	0.274575	0.530594	0.156386	0.530112
224	4.76236e+06	899.04	0	17.758	12.4744	93013.6	3.95485	1.70244	0.292751	0.556128	0.167371	0.530901
225	4.78118e+06	901.76	0	17.8134	12.567	93539.5	3.98994	1.68152	0.304642	0.579297	0.175759	0.533029
226	4.80272e+06	903.2	0	17.8566	12.6429	93992.2	3.79441	1.5689	0.295534	0.572476	0.168612	0.536104
227	4.83034e+06	903.2	0	17.88	12.6934	94313.9	3.19375	1.21757	0.259329	0.554543	0.157171	0.538978
228	4.86022e+06	902.4	0	17.8798	12.7262	94488	3.17688	1.25505	0.247613	0.526249	0.149992	0.539692
229	4.89002e+06	902.56	0	17.9	12.7711	94760.5	3.01444	1.14859	0.243411	0.523349	0.150331	0.538829
230	4.91713e+06	902.56	0	17.9225	12.813	95032.1	3.11017	1.23136	0.24285	0.513647	0.145464	0.536343
